text,intent,text_entity
yes,affirm,yes
indeed,affirm,indeed
of course,affirm,of course
that sounds good,affirm,that sounds good
okay,affirm,okay
yeah,affirm,yeah
sure,affirm,sure
carry on,affirm,carry on
sure,affirm,sure
yay,affirm,yay
yeah,affirm,yeah
yes accept please,affirm,yes accept please
ok,affirm,ok
great,affirm,great
cool,affirm,cool
oh cool,affirm,oh cool
go for it,affirm,go for it
yes,affirm,yes
yep,affirm,yep
fine,affirm,fine
"yep, will do thank you",affirm,"yep, will do thank you"
all right,affirm,all right
very well,affirm,very well
alright,affirm,alright
Yup,affirm,Yup
"Yeah, sure",affirm,"Yeah, sure"
definitely,affirm,definitely
surelyFF,affirm,surelyFF
when was scira created?,birthday,when was scira created?
when scira bot was invented?,birthday,when scira bot was invented?
when was scira made?,birthday,when was scira made?
when was Scira built?,birthday,when was Scira built?
when was Scira developed?,birthday,when was Scira developed?
born,birthday,born
day_time of birth,birthday,day_time of birth
dob,birthday,dob
DOB,birthday,DOB
birth day_time?,birthday,birth day_time?
"Scira, your birthday?",birthday,"Scira, your birthday?"
birthday,birthday,birthday
"Scira, when is your birthday?",birthday,"Scira, when is your birthday?"
When are you born?,birthday,When are you born?
when you born?,birthday,when you born?
how old are you?,birthday,how old are you?
how old are you?,birthday,how old are you?
i feel bored,bored,i feel bored
Entertain me,bored,Entertain me
upset,bored,upset
I'm bored,bored,I'm bored
I don't know what to do,bored,I don't know what to do
I have nothing to do,bored,I have nothing to do
are you a bot?,bot_challenge,are you a bot?
are you a human?,bot_challenge,are you a human?
am I talking to a bot?,bot_challenge,am I talking to a bot?
am I talking to a human?,bot_challenge,am I talking to a human?
what are you?,bot_challenge,what are you?
who are you?,bot_challenge,who are you?
what can i call you?,bot_challenge,what can i call you?
how can i call you?,bot_challenge,how can i call you?
What's your name?,bot_challenge,What's your name?
What is your name?,bot_challenge,What is your name?
What should I call you?,bot_challenge,What should I call you?
How should  I call you?,bot_challenge,How should  I call you?
"tell me, what are you?",bot_challenge,"tell me, what are you?"
"tell me, who are you?",bot_challenge,"tell me, who are you?"
what people calls you?,bot_challenge,what people calls you?
How people calls you?,bot_challenge,How people calls you?
Do you got a name?,bot_challenge,Do you got a name?
you got any name?,bot_challenge,you got any name?
got a name?,bot_challenge,got a name?
you got a name?,bot_challenge,you got a name?
got a name?,bot_challenge,got a name?
what is your name?,bot_challenge,what is your name?
check inr value,check_currency_value,check [inr](from_curr) value
